match_id,date,team,opponent,side,source,goals,conceded,possession,shots,sot,passes,pass_acc,big_chances,big_missed,saves,fouls,duels_won,xg,corners
2022_11_25_Qatar_vs_Senegal,2022-11-25,Qatar,Senegal,home,fotmob,1,3,45,10,3,406,81,1,1,2,7,54,0.96,6
2022_11_25_Qatar_vs_Senegal,2022-11-25,Senegal,Qatar,away,fotmob,3,1,55,13,5,502,86,2,0,2,12,46,0.75,6
2022_11_25_Qatar_vs_Senegal,2022-11-25,Qatar,Senegal,home,whoscored,1,3,45,10,5,453,80,1,1,4,7,43,,
2022_11_25_Qatar_vs_Senegal,2022-11-25,Senegal,Qatar,away,whoscored,3,1,55,13,7,545,84,2,0,3,12,57,,
2022_11_25_Wales_vs_Iran,2022-11-25,Wales,Iran,home,fotmob,0,2,62,10,3,501,78,1,1,4,9,49,0.89,2
2022_11_25_Wales_vs_Iran,2022-11-25,Iran,Wales,away,fotmob,2,0,38,21,6,298,66,2,1,3,10,51,1.47,7
2022_11_25_Wales_vs_Iran,2022-11-25,Wales,Iran,home,whoscored,0,2,62,10,5,566,77,1,1,13,9,54,,
2022_11_25_Wales_vs_Iran,2022-11-25,Iran,Wales,away,whoscored,2,0,38,21,15,348,64,2,1,5,10,46,,
2022_11_26_Argentina_vs_Mexico,2022-11-26,Argentina,Mexico,home,fotmob,2,0,58,5,2,528,84,0,0,1,15,54,0.32,4
2022_11_26_Argentina_vs_Mexico,2022-11-26,Mexico,Argentina,away,fotmob,0,2,42,4,1,370,77,0,0,0,19,46,0.27,2
2022_11_26_Argentina_vs_Mexico,2022-11-26,Argentina,Mexico,home,whoscored,2,0,58,5,2,566,83,0,0,2,15,53,,
2022_11_26_Argentina_vs_Mexico,2022-11-26,Mexico,Argentina,away,whoscored,0,2,42,4,2,405,75,0,0,0,19,47,,
2022_11_26_France_vs_Denmark,2022-11-26,France,Denmark,home,fotmob,2,1,48,21,7,491,86,4,3,1,4,53,2.42,6
2022_11_26_France_vs_Denmark,2022-11-26,Denmark,France,away,fotmob,1,2,52,10,2,528,86,1,0,4,9,47,0.64,4
2022_11_26_France_vs_Denmark,2022-11-26,France,Denmark,home,whoscored,2,1,49,21,15,538,85,4,3,3,4,50,,
2022_11_26_France_vs_Denmark,2022-11-26,Denmark,France,away,whoscored,1,2,51,10,4,571,85,1,0,12,9,50,,
2022_11_26_Poland_vs_Saudi_Arabia,2022-11-26,Poland,Saudi Arabia,home,fotmob,2,0,36,9,3,297,77,5,3,5,18,45,1.56,4
2022_11_26_Poland_vs_Saudi_Arabia,2022-11-26,Saudi Arabia,Poland,away,fotmob,0,2,64,16,5,537,85,3,3,1,15,55,1.73,5
2022_11_26_Poland_vs_Saudi_Arabia,2022-11-26,Poland,Saudi Arabia,home,whoscored,2,0,37,9,5,337,74,5,3,8,18,41,,
2022_11_26_Poland_vs_Saudi_Arabia,2022-11-26,Saudi Arabia,Poland,away,whoscored,0,2,63,16,8,582,83,3,3,3,15,59,,
2022_11_26_Tunisia_vs_Australia,2022-11-26,Tunisia,Australia,home,fotmob,0,1,58,14,4,497,76,1,1,1,16,53,0.94,5
2022_11_26_Tunisia_vs_Australia,2022-11-26,Australia,Tunisia,away,fotmob,1,0,42,9,2,351,68,1,1,4,15,47,0.61,2
2022_11_26_Tunisia_vs_Australia,2022-11-26,Tunisia,Australia,home,whoscored,0,1,59,14,10,562,74,1,1,3,16,51,,
