match_id,event_id,market_xg
4837116,444,0.02469062991440296
4837116,1032,0.06366528570652008
4837116,684,0.13333357870578766
4837116,531,0.028615480288863182
4837116,378,0.08546478301286697
4837116,387,0.011408648453652859
4837116,490,0.020414229482412338
4837116,751,0.019043520092964172
4837116,697,0.018147151917219162
4837116,265,0.008114251308143139
4837116,114,0.02096983976662159
4837116,543,0.016776427626609802
4837116,587,0.15218687057495117
4837116,232,0.04885710030794144
4837117,526,0.03806408494710922
4837117,482,0.02308361418545246
4837117,149,0.057286586612463
4837117,573,0.48817509412765503
4837117,603,0.03200265020132065
4837117,703,0.01136600598692894
4837117,521,0.1308531016111374
4837117,64,0.041969239711761475
4837117,487,0.29565051198005676
4837117,145,0.06536683440208435
4837117,729,0.08868179470300674
4837117,637,0.09549067169427872
4837117,151,0.032696764916181564
4837117,148,0.016107555478811264
4837117,221,0.019387828186154366
4837117,507,0.03221479058265686
4837117,601,0.07558690011501312
4837117,682,0.04293081909418106
4837117,199,0.074691541492939
4837117,676,0.05633581802248955
4837117,376,0.14519362151622772
4837117,451,0.05664750933647156
4837117,506,0.04421785846352577
4837117,466,0.056229740381240845
4837117,645,0.04612917825579643
4837117,498,0.029845306649804115
4837117,134,0.014678535051643848
4837117,527,0.46319636702537537
4837117,571,0.019619513303041458
4837117,120,0.02517709508538246
4837117,242,0.017003683373332024
4837118,284,0.5190448760986328
4837118,223,0.049053631722927094
4837118,255,0.0631013885140419
4837118,70,0.03263436257839203
4837118,425,0.022853752598166466
4837118,104,0.01704014465212822
4837118,424,0.04882168024778366
4837118,132,0.05229215323925018
4837118,217,0.3357270061969757
4837118,606,0.12987825274467468
4837118,847,0.015558426268398762
4837118,123,0.056252218782901764
4837118,565,0.0473523810505867
4837118,979,0.07426640391349792
4837118,394,0.13901132345199585
4837118,300,0.04240387678146362
4837118,465,0.04237977787852287
4837118,640,0.02418220229446888
4837118,338,0.0610237792134285
4837118,204,0.05546760559082031
4837118,251,0.07771889120340347
4837118,252,0.09761541336774826
4837118,39,0.5248637199401855
4837118,390,0.06315585225820541
4837118,438,0.024388747289776802
4837118,193,0.016459370031952858
4837118,662,0.03230607882142067
4837118,417,0.019744182005524635
4837118,137,0.04399280995130539
4837119,282,0.01763293333351612
4837119,122,0.09599830210208893
4837119,163,0.03392276540398598
4837119,740,0.023356713354587555
4837119,346,0.08672209084033966
4837119,448,0.4826797544956207
4837119,515,0.07015902549028397
4837119,482,0.055879492312669754
4837119,217,0.04455285519361496
4837119,340,0.033403899520635605
4837119,799,0.09123487025499344
4837119,28,0.3259681463241577
4837119,405,0.0143590634688735
4837119,558,0.02241063490509987
4837119,809,0.01788775436580181
4837119,314,0.021726608276367188
4837120,558,0.09782113134860992
4837120,602,0.03126203268766403
4837120,846,0.05050074681639671
4837120,761,0.007768250070512295
4837120,710,0.019924543797969818
4837120,944,0.08717532455921173
4837120,574,0.04719801992177963
4837120,877,0.06122595816850662
4837120,123,0.366201788187027
4837120,193,0.07298263907432556
4837120,73,0.2807709276676178
4837120,780,0.53692227602005
4837120,374,0.021837785840034485
4837120,137,0.09032602608203888
